"Name","dataset_limit_train","test.L1_central","_wandb"
"stoic-sweep-52","1251","0.07681488466262817",""
"wobbly-sweep-51","1280","0.0767497148513794",""
"curious-sweep-50","1280","0.07675684595108032",""
"noble-sweep-49","2730","0.07417692375183106",""
"fluent-sweep-48","1275","0.07673128652572632",""
"jolly-sweep-47","3500","0.0730297224521637",""
"gallant-sweep-46","3008","0.07383471012115478",""
"restful-sweep-45","3104","0.07363040113449097",""
"morning-sweep-44","246","0.08497579622268676",""
"radiant-sweep-43","2705","0.07416697263717652",""
"robust-sweep-42","3217","0.07348286318778992",""
"decent-sweep-41","402","0.08201188206672669",""
"northern-sweep-40","508","0.08040609669685364",""
"cool-sweep-39","744","0.07920416593551635",""
"unique-sweep-38","2142","0.07539687013626098",""
"azure-sweep-37","1279","0.07676010251045227",""
"twilight-sweep-36","125","4574211317.765594",""
"swept-sweep-35","3104","0.07362404203414917",""
"confused-sweep-34","1274","0.07673508119583129",""
"exalted-sweep-33","202","0.08620003032684326",""
"ancient-sweep-32","220","0.08539244556427002",""
"hearty-sweep-31","1536","0.07604988312721253",""
"lucky-sweep-30","2704","0.07417400598526001",""
"devout-sweep-29","33","1859807762.432",""
"misty-sweep-28","544","0.08050624656677247",""
"serene-sweep-27","681","0.07988815212249756",""
"trim-sweep-26","2122","0.07531002235412598",""
"sandy-sweep-25","401","0.08200648975372314",""
"daily-sweep-24","3298","0.07317799949645996",""
"golden-sweep-23","2092","0.07520619320869446",""
"soft-sweep-22","3218","0.0735064775943756",""
"avid-sweep-21","1496","0.07636730623245239",""
"likely-sweep-20","2872","0.07422456502914429",""
"lilac-sweep-19","544","0.08047760152816773",""
"fancy-sweep-18","1251","0.07681888794898986",""
"misty-sweep-17","189","0.08614509344100953",""
"driven-sweep-16","2501","0.07455818390846253",""
"atomic-sweep-15","3008","0.073845867395401",""
"dulcet-sweep-14","1505","0.07633090209960937",""
"swept-sweep-13","2897","0.07401927065849304",""
"genial-sweep-12","1996","0.07555500030517578",""
"resilient-sweep-11","951","0.0773252773284912",""
"polar-sweep-10","194","0.08590486121177673",""
"astral-sweep-9","2730","0.07417309737205505",""
"toasty-sweep-8","3500","0.07301583194732666",""
"glad-sweep-7","2956","0.07391599082946777",""
"amber-sweep-6","1649","0.07560474681854248",""
"hopeful-sweep-5","2986","0.07394803738594055",""
"drawn-sweep-2","245","0.08503269553184509",""
"dandy-sweep-1","1465","0.07609980034828186",""
