"Name","dataset_limit_responses","test.L1_central","_wandb"
"morning-sweep-30","16063","0.08167436407987402",""
"gentle-sweep-29","19683","0.08002660448589022",""
"frosty-sweep-28","21544","0.08135437824107983",""
"lunar-sweep-27","6060","0.08223531203295188",""
"glamorous-sweep-26","4541","0.08314861779490476",""
"rural-sweep-25","27091","0.08067702936747717",""
"light-sweep-25","14659","0.08137080086602105",""
"different-sweep-24","27591","0.07933776138951538",""
"dark-sweep-23","12442","0.08198713196648491",""
"peachy-sweep-22","29458","0.07980560037824842",""
"winter-sweep-21","11174","0.08073446783439192",""
"helpful-sweep-20","1220","0.083839111328125",""
"treasured-sweep-19","11901","0.0831535099170826",""
"splendid-sweep-17","14007","0.08152576635754298",""
"sleek-sweep-16","12547","0.08063371792041435",""
"polar-sweep-15","12433","0.08065387385232108",""
"cool-sweep-14","10078","0.0805003052413779",""
"rare-sweep-13","13270","0.081471388453529",""
"polished-sweep-12","10757","0.08123450975569468",""
"young-sweep-11","684","0.08432825840339458",""
"distinctive-sweep-10","18191","0.08081271946114837",""
"fragrant-sweep-9","23838","0.08024214219794702",""
"brisk-sweep-8","19808","0.07962066463692478",""
"youthful-sweep-7","26946","0.08016741475100239",""
"amber-sweep-6","11548","0.08090126065350084",""
"sunny-sweep-5","15239","0.08049961319676152",""
"ethereal-sweep-4","14808","0.08038853998537417",""
"drawn-sweep-3","27391","0.0798560187425563",""
"fluent-sweep-2","7516","0.08236744376086684",""
"ethereal-sweep-1","12618","0.08066028577310068",""
