"Name","dataset_limit_responses","test.L1_central","_wandb"
"peach-sweep-23","9512","0.07026216633105405",""
"atomic-sweep-22","10294","0.07051692866774463",""
"divine-sweep-21","4392","0.07196056280186568",""
"leafy-sweep-20","18972","0.06877091972916215",""
"lunar-sweep-19","1103","0.07730558059833668",""
"ethereal-sweep-18","20687","0.06842805897748029",""
"resilient-sweep-17","12727","0.06920981492945757",""
"lunar-sweep-16","19517","0.06876566359605739",""
"proud-sweep-15","1218","0.07617100097514964",""
"electric-sweep-14","15655","0.06987156943669395",""
"fresh-sweep-13","8128","0.07080090618638135",""
"young-sweep-12","14363","0.06923327509057585",""
"stoic-sweep-11","23719","0.06808782120861073",""
"polished-sweep-10","5132","0.07191257378411671",""
"misunderstood-sweep-9","12867","0.06976498086616476",""
"efficient-sweep-8","20298","0.06816407178444837",""
"hardy-sweep-7","20403","0.06919387890548302",""
"rosy-sweep-6","15794","0.06942569773033183",""
"dulcet-sweep-5","13184","0.06848562672024681",""
"revived-sweep-4","20905","0.06847773607445773",""
"chocolate-sweep-3","20781","0.06883533815858225",""
"different-sweep-2","23589","0.06838585104261126",""
"snowy-sweep-1","6288","0.07203546897444145",""
