"Name","dataset_limit_responses","test.L1_central","_wandb"
"dry-sweep-25","3324","0.06761641956510998",""
"apricot-sweep-24","5195","0.06655886178294187",""
"ethereal-sweep-23","2423","0.0683434422053988",""
"young-sweep-22","2616","0.06790574058653816",""
"frosty-sweep-21","1159","0.06929008211408343",""
"good-sweep-20","4759","0.06742878490024143",""
"vague-sweep-19","347","0.07315811528099908",""
"hardy-sweep-18","5182","0.0669477052284927",""
"peach-sweep-17","3217","0.06778220764543644",""
"leafy-sweep-16","4894","0.06652976961993666",""
"misty-sweep-15","376","0.07261028484061913",""
"breezy-sweep-14","3940","0.06719352262991446",""
"crisp-sweep-13","2082","0.06854226112365723",""
"gentle-sweep-12","3621","0.06727181903899662",""
"cosmic-sweep-11","5931","0.06608764446601666",""
"fallen-sweep-10","1342","0.0688656067974353",""
"apricot-sweep-9","3252","0.06740046284186146",""
"fiery-sweep-8","5086","0.3629302828147928",""
"devoted-sweep-7","5112","0.06771243559620367",""
"exalted-sweep-6","3974","0.06773066111973354",""
"different-sweep-5","3330","0.06849492131086884",""
"stellar-sweep-4","5236","0.06692927368103511",""
"crimson-sweep-3","5206","0.06667222946409194",""
"gallant-sweep-2","5899","0.06662936652148212",""
"upbeat-sweep-1","1627","0.06886676144978357",""
