"Name","dataset_limit_responses","test.L1_central","_wandb"
"decent-sweep-30","41884","0.06834111107720268",""
"ruby-sweep-29","31581","0.06802948744839461",""
"brisk-sweep-28","10415","0.0698708459561464",""
"sleek-sweep-27","53570","0.06790041027876435",""
"fresh-sweep-26","33779","0.0680678015915805",""
"earnest-sweep-25","18020","0.06926679222672073",""
"ethereal-sweep-24","15761","0.0688183127509223",""
"daily-sweep-23","35381","0.06916431280670973",""
"spring-sweep-22","31413","0.06751767948191002",""
"efficient-sweep-21","31904","0.06741483342710626",""
"clean-sweep-20","8766","0.07028335581380854",""
"rural-sweep-19","7782","0.07041235787527902",""
"lilac-sweep-18","33920","0.06758732639292561",""
"trim-sweep-17","51612","0.06694367539945734",""
"driven-sweep-16","767","0.07728902044750395",""
"scarlet-sweep-19","36163","0.06767868713096337",""
"bumbling-sweep-18","16849","0.06946137433329587",""
"frosty-sweep-40","2533","0.0745136553143698",""
"likely-sweep-14","19945","0.06947556510804191",""
"soft-sweep-12","33954","0.06953214705936492",""
"glowing-sweep-11","25598","0.06916667196485732",""
"spring-sweep-12","51667","0.0678560199434795",""
"sparkling-sweep-8","19795","0.06813626733406511",""
"ethereal-sweep-7","30916","0.06852179973844498",""
"fluent-sweep-6","14949","0.06927258781655125",""
"peach-sweep-5","43593","0.0683672375149197",""
"light-sweep-4","3241","0.07260558764139811",""
"sweet-sweep-3","13253","0.06987421769944448",""
"soft-sweep-2","25022","0.06856592009307215",""
"swept-sweep-8","25712","0.06890403777833969",""
"fresh-valley","60000","0.06655",""
